Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	19468	-	0	0	0	0	0	0	15	109	0	0	0	0	0	0	0	1	0	0	106	127	0	0	0	6	0	2
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	4	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	25	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-group-characteristic-kind-code-system.json	945	2	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	15	1603	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-reglementation-precision-code-system.json	1919	3	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	21	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-regulation-code-code-system.json	704	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	12	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-status-recruitment-code-system.json	711	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	68	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-party-organization-type-code-system.json	939	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-party-role-code-system.json	1947	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	1	0	0	18	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	661	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1821	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-population-code-system.json	1610	3	0	0	1	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	17	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1150	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2638	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	21	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	562	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3295	3	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	6	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	1	0	0
fsh-generated/resources/ResearchStudy-2022-500014-26-00-example.json	11400	6	0	0	0	0	0	0	1	75	0	0	0	0	0	0	0	0	0	0	32	21	0	0	0	0	0	1
fsh-generated/resources/ResearchStudy-fake-study-example.json	10677	5	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	30	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-eclaire-approval-date.json	1409	4	0	12	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	41	123	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-arm-intervention.json	2667	3	0	25	1	0	0	0	0	49	0	0	0	0	0	0	0	1	0	0	85	218	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-eclaire-associated-party-r5.json	6165	3	0	40	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	140	262	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-address.json	1351	3	0	20	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	28	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-affiliation.json	1374	2	0	15	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	28	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-name.json	1335	2	0	14	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	27	54	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1555	3	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	57	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-group.json	1660	2	0	44	0	0	0	0	0	23	0	0	1	0	0	0	0	1	0	0	94	251	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-eclaire-label-r5.json	3043	3	0	25	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	61	113	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-eclaire-location.json	1073	3	0	60	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	104	263	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-eclaire-outcome-measure-r5.json	4742	3	0	34	0	0	0	0	0	21	1	0	0	0	0	0	0	1	0	0	91	161	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-eclaire-recruitment-period.json	1452	2	0	14	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	65	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-eclaire-recruitment-status.json	1549	2	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-researchstudy.json	16313	5	0	97	0	0	0	0	1	67	0	0	0	0	0	0	0	1	0	0	344	696	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-eclaire-review-date.json	1563	2	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	28	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-site-contact-name.json	1419	3	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	63	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-therapeutic-area.json	1432	2	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	65	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-category-vs.json	788	2	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	8	76	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-group-characteristic-kind-vs.json	576	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	40	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-reglementation-precision-vs.json	594	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	49	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-regulation-code-vs.json	492	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	36	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-status-recruitment-vs.json	552	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	34	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-outcome-type-vs.json	693	2	0	0	1	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	8	36	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-study-party-organization-type-vs.json	599	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	35	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-party-role-vs.json	641	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	45	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-source-vs.json	598	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	51	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-study-phase-vs.json	608	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	46	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-population-vs.json	524	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	40	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-status-vs.json	501	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	42	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eclaire-study-title-type-vs.json	587	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	43	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eclaire-type-contact-vs.json	495	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	31	0	0	0	0	0	0
