Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.eclaire.json	19919	-	0	0	0	0	0	0	20	104	0	0	0	0	0	0	0	1	0	0	113	132	0	0	0	6	0	2
fsh-generated/resources/CapabilityStatement-eclaire-consommateur.json	1701	3	0	0	0	0	0	1	1	44	0	0	0	0	0	0	0	0	0	0	23	52	0	1	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-group-characteristic-kind-code-system.json	1103	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	17	588	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-reglementation-precision-code-system.json	2077	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	19	66	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-regulation-code-code-system.json	862	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-status-recruitment-code-system.json	989	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-party-organization-type-code-system.json	1097	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	73	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-party-role-code-system.json	2105	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-code-system.json	819	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-phase-source-code-system.json	1979	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-population-code-system.json	1768	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	17	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-eclaire-study-status-code-system.json	1308	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-study-title-type-code-system.json	2796	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	20	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-eclaire-type-contact-code-system.json	720	3	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	12	23	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-eclaire-study-phase-concept-map.json	3295	3	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	21	35	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eclaire-study-status-concept-map.json	2764	2	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	17	26	0	0	0	1	0	0
fsh-generated/resources/ResearchStudy-2022-500014-26-00-example.json	11079	5	0	0	0	0	0	0	2	390	0	0	0	0	0	0	0	0	0	0	34	32	0	0	1	0	0	0
fsh-generated/resources/ResearchStudy-fake-study-example.json	10677	4	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	33	22	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-eclaire-approval-date.json	1409	4	0	14	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	42	477	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-arm-intervention.json	2667	2	0	34	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	76	237	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-eclaire-associated-party-r5.json	6165	4	0	57	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	116	356	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-eclaire-contact-address.json	1351	2	0	28	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	28	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-affiliation.json	1374	2	0	26	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	81	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-name.json	1335	2	0	26	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	29	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-contact-type.json	1555	2	0	28	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	30	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-eclaire-description-summary-r5.json	1829	2	0	27	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	28	78	0	0	0	2	0	0
